date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:23:40	425916/425916	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:0cbd16136179b0c5c38945148f03477b%22	https://motocutzmx.com/products/surron-number-plate-decal-custom	C:/Users/Faran/Desktop/sdfasd/motocutzmx.com/products/surron-number-plate-decal-custom.html	(from )
16:23:40	555/555	---MCZ	200	added ('OK')	text/plain	etag:W/%22cacheable:34d0fa2b2a6476ab485fda65362ac9a9%22	https://motocutzmx.com/robots.txt		(from )
16:23:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Apr%202025%2023:23:39%20GMT	http://motocutzmx.com/cdn/shop/files/Motocutz_Favicon.png?crop=center&height=32&v=1665031526&width=32	C:/Users/Faran/Desktop/sdfasd/motocutzmx.com/cdn/shop/files/Motocutz_Favicon.16175.delayed	(from https://motocutzmx.com/products/surron-number-plate-decal-custom)
16:23:41	2092/2092	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Oct%202024%2011:05:49%20GMT	https://motocutzmx.com/cdn/shop/files/Motocutz_Favicon.png?crop=center&height=32&v=1665031526&width=32	C:/Users/Faran/Desktop/sdfasd/motocutzmx.com/cdn/shop/files/Motocutz_Favicon6175.png	(from https://motocutzmx.com/products/surron-number-plate-decal-custom)
16:23:41	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Apr%202025%2023:23:40%20GMT	http://motocutzmx.com/cdn/shop/files/Screenshot2025-01-02at6.32.54PM.png?v=1735871581	C:/Users/Faran/Desktop/sdfasd/motocutzmx.com/cdn/shop/files/Screenshot2025-01-02at6.32.54PM1476.png	(from https://motocutzmx.com/products/surron-number-plate-decal-custom)
16:23:41	94057/94057	---M--	200	added ('OK')	image/png	date:Sat,%2005%20Apr%202025%2005:54:35%20GMT	https://motocutzmx.com/cdn/shop/files/Screenshot2025-01-02at6.32.54PM.png?v=1735871581	C:/Users/Faran/Desktop/sdfasd/motocutzmx.com/cdn/shop/files/Screenshot2025-01-02at6.32.54PM1476.png	(from https://motocutzmx.com/products/surron-number-plate-decal-custom)
16:23:43	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Apr%202025%2023:23:40%20GMT	http://motocutzmx.com/cdn/shop/t/1/assets/global.js?v=149496944046504657681664215532	C:/Users/Faran/Desktop/sdfasd/motocutzmx.com/cdn/shop/t/1/assets/global4467.js	(from https://motocutzmx.com/products/surron-number-plate-decal-custom)
16:23:43	26275/26275	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2018%20Feb%202025%2011:43:18%20GMT	https://motocutzmx.com/cdn/shop/t/1/assets/global.js?v=149496944046504657681664215532	C:/Users/Faran/Desktop/sdfasd/motocutzmx.com/cdn/shop/t/1/assets/global4467.js	(from https://motocutzmx.com/products/surron-number-plate-decal-custom)
16:23:43	2750/2750	---MC-	200	added ('OK')	application/json+oembed	etag:W/%22cacheable:254a9985211b822195e716f4fa394269%22	https://motocutzmx.com/products/surron-number-plate-decal-custom.oembed	C:/Users/Faran/Desktop/sdfasd/motocutzmx.com/products/surron-number-plate-decal-custom.oembed	(from https://motocutzmx.com/products/surron-number-plate-decal-custom)
16:23:43	3968/3968	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2013%20Apr%202025%2023:23:42%20GMT	https://motocutzmx.com/checkouts/internal/preloads.js?locale=en-US	C:/Users/Faran/Desktop/sdfasd/motocutzmx.com/checkouts/internal/preloadsc494.js	(from https://motocutzmx.com/products/surron-number-plate-decal-custom)
